id_student,name,gender,region,highest_education,imd_band,age_band,disability
144801,Mary Mitchell,F,South Region,HE Qualification,80-90%,35-55,N
145130,Marco Carson,M,South West Region,HE Qualification,60-70%,0-35,N
146188,Lin Nixon,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y
147756,Donald Shoemake,M,North Region,Lower Than A Level,60-70%,0-35,N
147793,Doris Mader,F,North Region,Lower Than A Level,80-90%,0-35,N
148993,Berniece Carpenter,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y
151358,Stephany Eggleston,F,London Region,A Level or Equivalent,80-90%,0-35,N
155550,James Wild,M,London Region,A Level or Equivalent,0-10%,35-55,N
155854,Jane Saucedo,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N
155984,Dorothy Klipfel,F,East Anglian Region,Lower Than A Level,70-80%,0-35,N
157568,Sonya Brenner,F,South West Region,A Level or Equivalent,90-100%,0-35,N
159954,Thomas Roberts,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N
164259,William Apodaca,M,Scotland,A Level or Equivalent,70-80%,0-35,N
167906,Agnes Arleth,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N
168936,Brenda Nowlin,F,West Midlands Region,Lower Than A Level,10-20,35-55,N
172112,Steven Johnson,M,Ireland,HE Qualification,,35-55,N
172797,Debra Myers,F,Ireland,A Level or Equivalent,,35-55,N
174782,William Mclellan,M,East Anglian Region,HE Qualification,90-100%,55<=,N
175392,Walter Perez,M,North Region,HE Qualification,,35-55,N
175932,Larry Daugherty,M,North Western Region,HE Qualification,70-80%,35-55,N
175991,Amber Mirabal,F,North Western Region,A Level or Equivalent,80-90%,0-35,N
180753,William White,M,South West Region,A Level or Equivalent,30-40%,0-35,N
181316,Rosario Sauls,F,South West Region,A Level or Equivalent,80-90%,35-55,N
183096,Dawn Moore,F,South West Region,A Level or Equivalent,60-70%,0-35,N
183947,Kyle Adams,M,London Region,A Level or Equivalent,10-20,0-35,N
184271,Christopher Christman,M,South West Region,HE Qualification,80-90%,35-55,N
185439,Charles Gosselin,M,London Region,HE Qualification,10-20,0-35,N
186149,Donald Lutz,M,Scotland,HE Qualification,30-40%,35-55,N
187100,John Espinoza,M,South East Region,A Level or Equivalent,50-60%,35-55,N
188278,Matt Lee,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N
189879,Charles Mcgriff,M,Scotland,A Level or Equivalent,90-100%,0-35,N
192183,Anne Nanasy,F,South West Region,Lower Than A Level,90-100%,0-35,N
195262,Vernon Cox,M,London Region,A Level or Equivalent,90-100%,0-35,N
200860,Leroy Sanchirico,M,London Region,Lower Than A Level,50-60%,35-55,N
202635,Jacquelyn Whyte,F,Wales,A Level or Equivalent,30-40%,0-35,N
205350,Robert Bowen,M,South West Region,HE Qualification,80-90%,35-55,N
205719,Robert Keiser,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y
227499,Joan Blakenship,F,London Region,A Level or Equivalent,10-20,35-55,N
227517,William Williams,M,Ireland,HE Qualification,,0-35,N
228082,Clinton Bergmark,M,London Region,HE Qualification,60-70%,0-35,N
228222,Timothy Reyes,M,East Midlands Region,Lower Than A Level,50-60%,0-35,N
229179,Peter Schmucker,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N
229361,Robert Bayer,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N
231554,Robert Hedgepeth,M,London Region,A Level or Equivalent,40-50%,0-35,N
235507,Bruce Cardenas,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N
236284,Kenneth Danner,M,Scotland,Post Graduate Qualification,90-100%,0-35,N
238007,Nathan Toborg,M,South Region,HE Qualification,90-100%,55<=,N
240712,Juan Mckenzie,M,London Region,HE Qualification,80-90%,0-35,N
240884,Blake Vaught,M,South Region,A Level or Equivalent,90-100%,0-35,N
241649,Randy Jaramillo,M,East Anglian Region,HE Qualification,90-100%,35-55,N
241729,Luis Davis,F,East Midlands Region,HE Qualification,60-70%,35-55,N
242793,Warren Walters,M,London Region,HE Qualification,20-30%,35-55,N
246834,Robert Randolph,M,South West Region,A Level or Equivalent,90-100%,35-55,N
248270,Herbert Starrett,M,North Western Region,Lower Than A Level,20-30%,0-35,N
255548,Ronald Wilson,M,Wales,Lower Than A Level,20-30%,35-55,N
256815,Elton Linton,M,North Western Region,HE Qualification,10-20,0-35,N
258392,Emma Harper,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N
258894,Amanda Smallwood,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N
260355,Lynette Fellows,F,London Region,A Level or Equivalent,80-90%,35-55,N
262011,Ray Taylor,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N
262934,Wanda Middleton,F,North Western Region,A Level or Equivalent,30-40%,35-55,N
268073,John Patrick,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N
268733,Nicholas Thompson,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N
271251,William Auger,M,Scotland,A Level or Equivalent,80-90%,35-55,N
277880,Ruth Johnson,F,South East Region,A Level or Equivalent,60-70%,0-35,N
279572,Jerome Tavares,M,London Region,Lower Than A Level,40-50%,0-35,N
281022,Arlene Koller,F,Scotland,A Level or Equivalent,30-40%,0-35,N
281250,Richard Sanches,M,Wales,Lower Than A Level,70-80%,35-55,N
281589,Woodrow Magallanes,M,North Western Region,HE Qualification,30-40%,0-35,N
282821,Glen Mahler,M,South West Region,A Level or Equivalent,30-40%,35-55,N
286488,Michael Williams,M,South East Region,A Level or Equivalent,90-100%,35-55,N
287548,Barry Serpa,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N
290201,Andre Hendrix,M,Wales,A Level or Equivalent,20-30%,0-35,N
290757,James Lamar,M,North Western Region,A Level or Equivalent,30-40%,0-35,N
291334,Ernest Collins,M,South East Region,A Level or Equivalent,90-100%,35-55,N
292923,Melissa Wells,F,South East Region,A Level or Equivalent,90-100%,35-55,N
293699,Shawn Grant,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N
294570,Charles Davis,M,South East Region,HE Qualification,90-100%,55<=,N
294594,Kurt Springer,M,South East Region,A Level or Equivalent,90-100%,0-35,N
295741,Robert Lamar,M,South East Region,A Level or Equivalent,40-50%,35-55,N
296332,Oscar Washington,M,South Region,Post Graduate Qualification,90-100%,55<=,N
298696,Mary Winston,F,South East Region,HE Qualification,80-90%,0-35,N
300398,Melvin Kitchens,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N
302302,Vickie Stolle,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N
305152,Elvin Stephany,M,North Western Region,A Level or Equivalent,70-80%,0-35,N
305386,Billie Williams,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y
305539,Mary May,F,Wales,Lower Than A Level,80-90%,0-35,N
306107,Juan Rodriguez,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N
306466,Lee Drummond,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N
306897,Evangelina Edwards,F,London Region,A Level or Equivalent,10-20,0-35,N
307061,Terry Meyers,F,East Midlands Region,HE Qualification,10-20,0-35,N
307866,Albert Croyle,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N
311917,Christopher Leonard,M,South West Region,A Level or Equivalent,60-70%,55<=,N
312537,Jerome Hardwick,M,South Region,Post Graduate Qualification,90-100%,55<=,N
312782,Joe Price,M,South Region,A Level or Equivalent,90-100%,0-35,N
318933,Courtney Rehrig,F,East Anglian Region,HE Qualification,80-90%,0-35,N
319047,Ollie Nelson,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N
321942,William Hobbs,M,South Region,HE Qualification,90-100%,55<=,N
324002,Douglas Wallace,M,East Anglian Region,HE Qualification,40-50%,35-55,N
324084,Marie Noel,F,South West Region,A Level or Equivalent,10-20,35-55,N
324282,David Mitchell,M,South East Region,A Level or Equivalent,90-100%,0-35,N
331358,Agnes Reynolds,F,South Region,HE Qualification,90-100%,35-55,N
332789,Kristin Vadasy,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N
333059,Cleo Fuller,M,Scotland,A Level or Equivalent,20-30%,0-35,N
333323,Richard Carrion,M,Scotland,HE Qualification,80-90%,0-35,N
334259,Jesse Howell,F,London Region,A Level or Equivalent,50-60%,0-35,N
334333,Megan Davis,F,South West Region,A Level or Equivalent,0-10%,0-35,Y
335764,Christine Balistrieri,F,South East Region,A Level or Equivalent,20-30%,0-35,N
336207,Richard Riner,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N
339972,Israel Kelly,M,North Region,A Level or Equivalent,80-90%,0-35,N
341872,George Mayes,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N
342007,Gwendolyn Angel,F,West Midlands Region,HE Qualification,70-80%,0-35,N
342514,Fred Williams,M,Scotland,Lower Than A Level,50-60%,55<=,N
342972,Fredrick Kelley,M,Yorkshire Region,HE Qualification,0-10%,0-35,N
343446,David Henderson,M,Ireland,HE Qualification,70-80%,35-55,N
344282,Larry Walker,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N
345068,Rafael Cribb,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y
345357,Jerry Zemlicka,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N
346025,Gary Johnson,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N
346843,Melissa Blount,F,Scotland,HE Qualification,50-60%,35-55,N
350188,Gregory Krumwiede,M,North Western Region,HE Qualification,80-90%,35-55,N
354858,Michael Lysak,M,South Region,HE Qualification,90-100%,35-55,N
357668,George Mayberry,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N
364177,John Lathrop,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N
365244,Lindsey Holmes,F,London Region,A Level or Equivalent,0-10%,0-35,N
365642,Albert Foret,M,East Anglian Region,Lower Than A Level,10-20,35-55,N
366483,Jack Baxter,M,South West Region,HE Qualification,40-50%,0-35,N
368194,Norma Benson,F,South West Region,A Level or Equivalent,50-60%,0-35,Y
368824,Brendan Barnes,M,Wales,HE Qualification,50-60%,35-55,N
368963,Floyd Brochu,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,N
376439,Aubrey Applegate,M,North Region,HE Qualification,,0-35,N
376581,Mary Rodriguez,F,South Region,A Level or Equivalent,80-90%,35-55,N
380953,Timothy Hayes,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N
383254,Max Robinson,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N
386924,Philip Medlin,M,Ireland,Lower Than A Level,,0-35,N
386952,Juan Lin,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N
388722,Mary Toler,F,London Region,Lower Than A Level,80-90%,35-55,N
388885,Michael Joyce,M,South West Region,A Level or Equivalent,90-100%,35-55,N
390890,Daniel Rowe,M,Scotland,A Level or Equivalent,0-10%,0-35,N
392756,Christian Tapia,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N
392931,Juanita Simmons,F,North Western Region,A Level or Equivalent,50-60%,35-55,N
393207,Roy Brann,M,North Western Region,A Level or Equivalent,60-70%,0-35,N
396872,Damien Stock,M,Yorkshire Region,HE Qualification,50-60%,0-35,N
398552,Tod Grantham,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,N
401869,Jennifer Farber,F,South East Region,Lower Than A Level,80-90%,0-35,N
402470,Richard Leclerc,M,South West Region,Lower Than A Level,50-60%,35-55,N
404804,Bruce Bond,M,Wales,Lower Than A Level,20-30%,35-55,N
405088,Waylon Solis,M,North Region,A Level or Equivalent,20-30%,0-35,N
405961,Robert Rogers,M,Scotland,A Level or Equivalent,90-100%,0-35,Y
414117,Joseph Carter,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,N
415969,Jesus Savage,M,West Midlands Region,HE Qualification,0-10%,35-55,N
420087,Carl Griffin,M,Scotland,A Level or Equivalent,40-50%,0-35,Y
429958,Betty Adrian,F,North Western Region,A Level or Equivalent,70-80%,0-35,N
441018,Gracie Vasquez,F,South East Region,A Level or Equivalent,70-80%,0-35,N
441888,Carlton Anderson,M,London Region,A Level or Equivalent,20-30%,0-35,N
442442,Brandon Lee,M,South West Region,HE Qualification,80-90%,0-35,N
444677,Theodore Bergen,M,London Region,HE Qualification,30-40%,0-35,N
470588,John Miller,M,South East Region,HE Qualification,90-100%,35-55,N
489455,Violet Elizondo,F,South West Region,A Level or Equivalent,20-30%,0-35,N
494424,Catherine Thompson,F,North Region,A Level or Equivalent,80-90%,0-35,N
495284,Michael Kirby,M,South East Region,HE Qualification,80-90%,0-35,N
498857,David Backer,M,North Western Region,HE Qualification,80-90%,35-55,N
508818,Don Champlin,M,London Region,A Level or Equivalent,40-50%,0-35,N
512460,Joseph Douglas,M,South East Region,HE Qualification,90-100%,0-35,N
544103,John Mondesir,M,North Western Region,HE Qualification,40-50%,0-35,N
550383,Robert Johnson,M,South East Region,HE Qualification,60-70%,0-35,N
564450,David Cohan,M,West Midlands Region,HE Qualification,80-90%,0-35,N
568601,Amelia Napoleon,F,Scotland,HE Qualification,30-40%,0-35,N
572652,Stanley Dora,M,West Midlands Region,HE Qualification,70-80%,0-35,N
580389,Scott Harris,M,Ireland,HE Qualification,90-100%,0-35,N
581129,Timothy Massey,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N
588775,Ivan Grimm,M,South West Region,A Level or Equivalent,90-100%,0-35,N
591774,Johnny Jenkins,M,South Region,Post Graduate Qualification,90-100%,35-55,N
603861,Steven Hovis,M,North Region,HE Qualification,,55<=,N
606143,Steve Bayer,M,Scotland,Post Graduate Qualification,90-100%,35-55,N
704156,Arthur Rumsey,M,South Region,HE Qualification,90-100%,55<=,N
705379,Charles Thompson,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N
721259,Flossie Schrimsher,F,South Region,Lower Than A Level,50-60%,55<=,N
749412,Christopher Riddick,M,South Region,Lower Than A Level,70-80%,55<=,N
760729,George Lisa,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N
905042,Catherine Marlin,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N
949618,Thelma Usher,F,South West Region,A Level or Equivalent,50-60%,35-55,N
958987,James Woodson,M,North Western Region,HE Qualification,40-50%,35-55,N
968578,Lois Austin,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N
969076,Robert Horstmann,M,South West Region,A Level or Equivalent,80-90%,35-55,N
971027,Delia Putman,F,West Midlands Region,HE Qualification,90-100%,35-55,N
978739,Dannie Nott,M,South Region,HE Qualification,90-100%,35-55,N
1035023,Bridget Harris,F,London Region,Lower Than A Level,30-40%,35-55,N
1105478,Edward Gutierrez,M,Scotland,HE Qualification,80-90%,55<=,N
1352868,Garry Walker,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,N
1401935,Joseph Hanson,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,N
1402638,Olga David,F,East Midlands Region,HE Qualification,30-40%,35-55,N
1414443,Jacqueline Starbuck,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,N
1456619,Michael Lachner,M,South West Region,A Level or Equivalent,90-100%,35-55,N
1465690,James Wright,M,West Midlands Region,HE Qualification,40-50%,35-55,N
1472925,Kelly Moon,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y
1488959,Robert Dube,M,London Region,A Level or Equivalent,70-80%,35-55,N
1518989,Sharon Sayles,F,South East Region,Lower Than A Level,80-90%,35-55,N
1618738,Ivan Bruyere,M,London Region,Lower Than A Level,90-100%,35-55,N
1620151,David Solis,M,South Region,HE Qualification,90-100%,35-55,N
1626710,Leon Marcello,M,North Western Region,A Level or Equivalent,60-70%,35-55,N
1640609,Matthew Edwards,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N
1686521,Donna Taylor,F,North Western Region,Lower Than A Level,50-60%,35-55,N
1729319,Cathy Simpson,F,Scotland,HE Qualification,40-50%,35-55,N
1746134,Jimmy Cummins,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N
1758449,William Maddock,M,South Region,Lower Than A Level,30-40%,35-55,N
1763015,Jennifer Ikehara,F,Scotland,A Level or Equivalent,10-20,35-55,N
1765788,Rafael Wade,M,South East Region,HE Qualification,70-80%,55<=,N
1801229,Douglas Young,M,Ireland,HE Qualification,,35-55,N
1801641,Edward Moss,M,Scotland,A Level or Equivalent,30-40%,35-55,N
1847830,Ray Urban,M,South West Region,Lower Than A Level,40-50%,35-55,N
1860318,Charles Pinson,M,South West Region,Lower Than A Level,40-50%,35-55,Y
1889511,Drew Vargas,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,N
1889577,Marina Brockway,F,South Region,A Level or Equivalent,70-80%,35-55,Y
1894188,Wanda Williams,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,N
1938355,James Pierce,M,South Region,A Level or Equivalent,90-100%,35-55,N
1942396,Molly Fort,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y
1970390,Ray Grimaldo,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N
1976139,Scott Kennedy,M,Ireland,Lower Than A Level,50-60%,35-55,N
2011876,Dolores Belcher,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,Y
2012966,Brandon Green,M,North Western Region,Lower Than A Level,30-40%,35-55,N
2051699,Melanie Maffei,F,South West Region,Lower Than A Level,70-80%,35-55,N
2062879,Donna Erwin,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,N
2065691,Harold Windmeyer,M,London Region,A Level or Equivalent,30-40%,35-55,Y
2073016,Bettie Frahm,F,London Region,Lower Than A Level,30-40%,35-55,N
2080474,Edna Sandberg,F,South Region,A Level or Equivalent,90-100%,35-55,N
2083877,Amber Theden,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N
2084066,Dawn Richardson,F,South West Region,Lower Than A Level,50-60%,35-55,N
2104505,Max Bower,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N
2122180,Scott Plummer,F,North Western Region,Lower Than A Level,80-90%,35-55,N
2139353,Santiago Turner,M,London Region,A Level or Equivalent,50-60%,35-55,N
2143752,Wanda Thompson,F,South Region,Lower Than A Level,70-80%,35-55,N
2146792,Raymond Phillips,M,North Western Region,HE Qualification,20-30%,55<=,N
2149225,Steven Bruyere,M,Scotland,A Level or Equivalent,70-80%,35-55,Y
2153153,Kelli Brown,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,N
2155014,Maxine Strefeler,F,West Midlands Region,Lower Than A Level,80-90%,0-35,Y
2164705,Helen Owens,F,North Western Region,A Level or Equivalent,40-50%,0-35,N
2171627,Jeanne Varga,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,N
2182846,Mary Cullison,F,London Region,A Level or Equivalent,70-80%,35-55,N
2194100,Shirley Roberson,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,N
2197016,Donna Howell,F,North Western Region,HE Qualification,30-40%,35-55,N
2208424,William Soron,M,Scotland,A Level or Equivalent,20-30%,0-35,N
2229865,Juanita Yang,F,West Midlands Region,A Level or Equivalent,10-20,35-55,N
2255601,Lorena Berry,F,South Region,A Level or Equivalent,80-90%,35-55,N
2268379,Abbie Lopez,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N
2278464,Kenneth Anson,M,South Region,Lower Than A Level,30-40%,35-55,N
2293923,Howard Rokus,M,South Region,A Level or Equivalent,90-100%,0-35,N
2312620,Susan Owens,F,East Midlands Region,HE Qualification,20-30%,35-55,N
2318055,Jacques Martin,M,Wales,A Level or Equivalent,90-100%,35-55,N
2324976,Marilyn Easterwood,F,Scotland,HE Qualification,90-100%,35-55,N
2329342,Christine Carlucci,F,East Anglian Region,Lower Than A Level,40-50%,35-55,N
2339528,Sonja Creasman,F,London Region,Lower Than A Level,40-50%,0-35,N
2342426,Stephen Martin,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,N
2344901,Margaret Cortez,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N
2358056,Erin Reeb,F,North Region,HE Qualification,,0-35,N
2358969,Pamela Forbess,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N
2364471,Kristy Mcmullen,F,Scotland,HE Qualification,90-100%,0-35,Y
2365101,Jim Tucker,M,South East Region,HE Qualification,20-30%,0-35,N
2367155,Gertha Vix,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N
2369266,Cheryl Nicholson,F,London Region,Lower Than A Level,70-80%,35-55,N
2376496,Lisa Allison,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N
2391984,Willie Cook,M,South Region,A Level or Equivalent,90-100%,0-35,N
2411661,Mary Stallins,F,South Region,A Level or Equivalent,80-90%,0-35,N
2411778,John Dugan,M,Scotland,HE Qualification,20-30%,0-35,N
2412002,Nathan Davis,M,South West Region,Lower Than A Level,50-60%,35-55,N
2412967,Erma Sojka,F,South Region,A Level or Equivalent,80-90%,35-55,N
2429854,Tyler Beachum,M,London Region,A Level or Equivalent,10-20,35-55,Y
2437837,Debra Jimison,F,North Region,A Level or Equivalent,30-40%,0-35,N
2449878,Linnie Cope,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N
2456480,Lamont Sanders,M,Scotland,Lower Than A Level,80-90%,35-55,N
2457256,Stephen Garcia,M,South Region,Lower Than A Level,80-90%,35-55,N
2458355,Owen Shedlock,M,London Region,Lower Than A Level,80-90%,35-55,N
2460080,Esteban Mcfadden,M,Scotland,HE Qualification,90-100%,55<=,N
2461190,Everett Feder,M,South Region,HE Qualification,70-80%,55<=,N
2469673,Patsy Figg,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,N
2470694,Susan Solari,F,Scotland,HE Qualification,50-60%,55<=,N
2479954,Greg Allen,M,North Western Region,A Level or Equivalent,40-50%,0-35,N
2481901,Wesley Medina,M,Wales,Lower Than A Level,80-90%,35-55,N
2482700,Andrew Metzger,M,South Region,Lower Than A Level,90-100%,0-35,N
2486127,Samantha Gaines,F,East Anglian Region,HE Qualification,90-100%,0-35,N
2498700,Angela Truax,F,North Western Region,Lower Than A Level,40-50%,0-35,N
2516503,Rex Deshay,M,South East Region,HE Qualification,40-50%,35-55,N
2518069,Cole Griffin,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,N
2521459,Karla Hohl,F,London Region,Lower Than A Level,10-20,0-35,N
2523736,Guillermo Parker,M,North Western Region,A Level or Equivalent,20-30%,55<=,N
2529279,Ethel Curley,F,North Western Region,HE Qualification,60-70%,35-55,N
2532302,Jenny Gleason,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N
2536991,Daniel Pennington,M,South Region,HE Qualification,90-100%,55<=,N
2542724,Sharon Johnson,F,West Midlands Region,Lower Than A Level,40-50%,0-35,N
2550279,Ima Day,F,North Region,HE Qualification,,35-55,N
2551220,Mary Singleton,F,South Region,Lower Than A Level,90-100%,0-35,N
2552472,Kathleen Nance,F,South Region,HE Qualification,80-90%,35-55,N
2555340,Jacquline Pedley,F,South Region,HE Qualification,90-100%,35-55,N
2557283,Dennis Green,M,Yorkshire Region,HE Qualification,80-90%,55<=,N
2559575,James Mayers,M,South West Region,Lower Than A Level,30-40%,0-35,N
2562034,Daniel Vega,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,N
2566163,Mary Alfandre,F,South Region,A Level or Equivalent,80-90%,0-35,N
2566592,Alice Hanes,F,South Region,A Level or Equivalent,90-100%,35-55,N
2569324,William Mathis,M,South Region,A Level or Equivalent,90-100%,0-35,N
2574528,Glenn Sigrist,M,Ireland,HE Qualification,,35-55,N
2574583,Jose White,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,N
2576122,James Kubicek,M,North Western Region,A Level or Equivalent,70-80%,0-35,N
2578995,Iris Perez,F,West Midlands Region,A Level or Equivalent,10-20,0-35,Y
2586560,Della Thomas,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N
